Area_office,Region_Risk,FIPS_State,State,State_Abbrev,Personnel_Model,Personnel_Model_Round,Num_Employees_Total_Region,Personnel_Pop,Personnel_Pop_Round,Personnel_Difference
San Diego Area Office,40.64390055,6,California,CA,104.8556535,105,8687272,151.5794816,152,-47
Manhattan Area Office,2.910294806,36,New York,NY,7.508158906,8,2852641,49.77418042,50,-42
Oakland Area Office,22.81774834,6,California,CA,58.86664129,59,5221658,91.10986885,91,-32
Baltimore/Washington DC Area Office,8.895582276,24,Maryland,MD,22.94937446,23,2765567,48.25487358,48,-25
Chicago North Area Office,9.244367729,17,Illinois,IL,23.84919279,24,2724772,47.54306383,48,-24
Tampa Area Office,11.73790145,12,Florida,FL,30.28216562,30,3056352,53.3286228,53,-23
Phoenix Area Office,9.167965697,4,Arizona,AZ,23.65208609,24,2274635,39.68886828,40,-16
South Boston Area Office,4.05454974,25,Massachusetts,MA,10.4601787,10,1416686,24.71898306,25,-15
Philadelphia Area Office,2.021694429,42,Pennsylvania,PA,5.215692582,5,1081264,18.86638712,19,-14
Fort Lauderdale Area Office,5.312818811,12,Florida,FL,13.70633923,14,1528904,26.67701388,27,-13
Jacksonville Area Office,5.352847423,12,Florida,FL,13.80960752,14,1360203,23.73344193,24,-10
North Boston Area Office,4.161446589,25,Massachusetts,MA,10.73595782,11,1176664,20.5309698,21,-10
Las Vegas Area Office,3.762830353,32,Nevada,NV,9.707582946,10,1130676,19.72855022,20,-10
Dallas Area Office,11.12227084,48,Texas,TX,28.69392361,29,2261123,39.45310474,39,-10
Marlton Area Office,4.672938934,34,New Jersey,NJ,12.05553747,12,1226319,21.39737288,21,-9
Parsippany Area Office,2.163498467,34,New Jersey,NJ,5.581527428,6,838138,14.62421385,15,-9
Englewood Area Office,3.651121355,8,Colorado,CO,9.419389149,9,966415,16.86244942,17,-8
Tarrytown Area Office,2.005753908,36,New York,NY,5.174568238,5,761218,13.28207863,13,-8
Pittsburgh Area Office,5.586178999,42,Pennsylvania,PA,14.41157078,14,1253117,21.8649566,22,-8
Houston South Area Office,13.83852874,48,Texas,TX,35.70149408,36,2513349,43.85405896,44,-8
Long Island Area Office,4.937608053,36,New York,NY,12.73834726,13,1135577,19.8140651,20,-7
Denver Area Office,6.230997339,8,Colorado,CO,16.0751131,16,1232995,21.51385877,22,-6
Bridgeport Area Office,3.328321233,9,Connecticut,CT,8.586609389,9,831846,14.51442817,15,-6
Avenel Area Office,3.669065426,34,New Jersey,NJ,9.465682376,9,851500,14.85736012,15,-6
Austin Area Office,5.807325577,48,Texas,TX,14.98209843,15,1216170,21.2202885,21,-6
SanAntonio Area Office,2.991143873,48,Texas,TX,7.716738339,8,805985,14.06319365,14,-6
Honolulu Area Office,1.472329494,15,Hawaii,HI,3.798406876,4,505801,8.825446396,9,-5
Albany Area Office,3.608722261,36,New York,NY,9.310005339,9,787229,13.73593042,14,-5
Allentown Area Office,5.168478477,42,Pennsylvania,PA,13.33396109,13,1020238,17.80157766,18,-5
El Paso Area Office,2.951381821,35,New Mexico,NM,7.614157733,8,674098,11.76196916,12,-4
Queens District Office of the Manhattan Area Office,2.304963461,36,New York,NY,5.946487586,6,563339,9.829395646,10,-4
Wilmington Area Office,1.633128004,10,Delaware,DE,4.213244838,4,392303,6.845081559,7,-3
Springfield Area Office,3.132185508,25,Massachusetts,MA,8.08060629,8,607653,10.60260652,11,-3
Hasbruck Area Office,2.730999222,34,New Jersey,NJ,7.045601046,7,584006,10.19000288,10,-3
Corpus Christi Area Office,3.32658018,48,Texas,TX,8.582117713,9,699281,12.20137363,12,-3
Fort Worth Area Office,9.626827502,48,Texas,TX,24.83588621,25,1624107,28.33815922,28,-3
Augusta Area Office,1.837156678,23,Maine,ME,4.739610655,5,387642,6.763754306,7,-2
Billings Area Office,1.485976303,30,Montana,MT,3.83361376,4,362377,6.32291907,6,-2
Oklahoma City Area Office,8.047118294,40,Oklahoma,OK,20.76045449,21,1315913,22.96064983,23,-2
Portland Area Office,9.585183728,41,Oregon,OR,24.72845102,25,1533021,26.74884917,27,-2
Providence Area Office,1.917105685,44,Rhode Island,RI,4.945868059,5,429680,7.497252491,7,-2
Washington Area Office,17.23147921,53,Washington,WA,44.45483798,44,2646398,46.17555855,46,-2
Hartford Area Office,4.183234805,9,Connecticut,CT,10.79216841,11,674301,11.7655112,12,-1
St. Louis Area Office,8.071662861,29,Missouri,MO,20.82377609,21,1258925,21.96629723,22,-1
Avenel Area Office (New Jersey),0.367679959,36,New York,NY,0.948563545,1,101055,1.763253702,2,-1
Buffalo Area Office,6.035237961,36,New York,NY,15.57008092,16,960429,16.75800296,17,-1
Bismarck Area Office,1.769753804,38,North Dakota,ND,4.565720544,5,338970,5.914503065,6,-1
Lubbock Area Office,3.239983825,48,Texas,TX,8.358711069,8,527263,9.199925154,9,-1
Vermont/JFK Federal Building (Boston),1.698290202,50,Vermont,VT,4.381354314,4,260821,4.550923692,5,-1
