,State,Number_Injuries,FIPS_State,State_Abbrev,P_Construction,P_Manufacturing,P_Wholesale,P_Retail,P_WasteMgmt,Pct_Construction,Pct_Manufacturing,Percent_Retail,Pct_Waste,Pct_Wholesale,Num_Employees_Total,Num_Employees_Total2,ConstructionEmp,ManufacturingEmp,WholesaleTradeEmp,RetailEmp,WasteMgmtEmp,Construction_Risk,Manufacturing_Risk,Wholesale_Risk,Retail_Risk,Waste_Risk,State_Risk,State_Risk_Round,State_Risk2,State_Risk2_Round,Personnel_Model,Personnel_Model_Round,Population_Model,Population_Model_Round,Model_Difference
25,Alabama,243,1,AL,0.048448856,0.148315642,0.042505329,0.141647776,0.060640706,4.8,14.8,4.3,14.2,6.1,"1,673,249",1673249,81067,248169,71122,237012,101467,0.178284182,0.328801226,0.054864037,0.068747606,0.056300268,121959.902,121960,0.072888077,0.073,38.06804073,38,27.72197916,28,10
35,Arizona,4,4,AZ,0.084561234,0.086184423,0.054972691,0.191345102,0.108369406,5.9,6.1,3.9,13.5,7.6,"2,379,409",2379409,141492,144208,91983,320168,181329,0.178284182,0.328801226,0.054864037,0.068747606,0.056300268,156292.057,156292,0.065685242,0.066,34.41768066,34,39.42146489,39,-5
15,Arkansas,161,5,AR,0.02724221,0.090814935,0.027588841,0.088206836,0.026446751,4.5,14.8,4.5,14.4,4.3,"1,023,854",1023854,45583,151956,46163,147592,44252,0.178284182,0.328801226,0.054864037,0.068747606,0.056300268,44827.93236,44828,0.04378352,0.044,22.94512044,23,16.96296203,17,6
49,California,11,6,CA,0.431985915,0.689829189,0.496849542,1.020091451,0.531529976,5,7.9,5.7,11.7,6.1,"14,600,349",14600349,722820,1154256,831353,1706867,889382,0.178284182,0.328801226,0.054864037,0.068747606,0.056300268,6294885.508,6294886,0.431146235,0.431,224.7578843,225,241.8950023,242,-17
37,Colorado,217,8,CO,0.090752781,0.07242377,0.060104623,0.168119628,0.095608006,6.6,5.2,4.3,12.1,6.9,"2,318,190",2318190,151852,121183,100570,281306,159976,0.178284182,0.328801226,0.054864037,0.068747606,0.056300268,139626.8329,139627,0.06023097,0.06,31.2888006,31,38.40720351,38,-7
17,Connecticut,81,9,CT,0.034731232,0.092980184,0.042777853,0.111712005,0.045453486,3.8,10.1,4.7,12.2,5,"1,533,879",1533879,58114,155579,71578,186922,76055,0.178284182,0.328801226,0.054864037,0.068747606,0.056300268,75696.88239,75697,0.04934997,0.049,25.55252049,26,25.41293117,25,1
4,Delaware,35,10,DE,0.012043635,0.016249225,0.00991544,0.03356703,0.014671457,5,6.8,4.1,14,6.1,"400,069",400069,20152,27189,16591,56166,24549,0.178284182,0.328801226,0.054864037,0.068747606,0.056300268,4467.816844,4468,0.011167616,0.011,5.736280109,6,6.628245097,7,-1
47,Florida,705,12,FL,0.235566255,0.182574739,0.185360936,0.649902674,0.307183808,4.8,3.7,3.8,13.3,6.3,"8,169,642",8169642,394161,305493,310155,1087449,513995,0.178284182,0.328801226,0.054864037,0.068747606,0.056300268,1422922.625,1422923,0.174171968,0.174,90.73752173,91,135.3526255,135,-44
39,Georgia,436,13,GA,0.101934619,0.217338244,0.123584715,0.289935927,0.150021306,4.5,9.6,5.4,12.8,6.6,"3,804,433",3804433,170562,363661,206788,485135,251023,0.178284182,0.328801226,0.054864037,0.068747606,0.056300268,474768.1605,474768,0.124793408,0.125,65.18500124,65,63.03091311,63,2
11,Hawaii,,15,HI,0.020004195,0.007793221,0.011411332,0.042204119,0.020445851,6.3,2.5,3.6,13.4,6.5,"528,415",528415,33472,13040,19094,70618,34211,0.178284182,0.328801226,0.054864037,0.068747606,0.056300268,5710.825528,5711,0.010807463,0.011,5.736280109,6,8.754650155,9,-3
